year,sport,event,event_gender,noc,country,medal,award_count
1896,Athletics,100m men,Men,GER,Germany,SILVER,1
1896,Athletics,100m men,Men,HUN,Hungary,BRONZE,1
1896,Athletics,100m men,Men,USA,United States of America,BRONZE,1
1896,Athletics,100m men,Men,USA,United States of America,GOLD,1
1896,Athletics,110m hurdles men,Men,GBR,Great Britain,SILVER,1
1896,Athletics,110m hurdles men,Men,USA,United States of America,GOLD,1
1896,Athletics,1500m men,Men,AUS,Australia,GOLD,1
1896,Athletics,1500m men,Men,FRA,France,BRONZE,1
1896,Athletics,1500m men,Men,USA,United States of America,SILVER,1
1896,Athletics,400m men,Men,GBR,Great Britain,BRONZE,1
1896,Athletics,400m men,Men,USA,United States of America,GOLD,1
1896,Athletics,400m men,Men,USA,United States of America,SILVER,1
1896,Athletics,800m men,Men,AUS,Australia,GOLD,1
1896,Athletics,800m men,Men,GRE,Greece,BRONZE,1
1896,Athletics,800m men,Men,HUN,Hungary,SILVER,1
1896,Athletics,discus throw men,Men,GRE,Greece,BRONZE,1
1896,Athletics,discus throw men,Men,GRE,Greece,SILVER,1
1896,Athletics,discus throw men,Men,USA,United States of America,GOLD,1
1896,Athletics,high jump men,Men,USA,United States of America,GOLD,1
1896,Athletics,high jump men,Men,USA,United States of America,SILVER,1
1896,Athletics,long jump men,Men,USA,United States of America,BRONZE,1
1896,Athletics,long jump men,Men,USA,United States of America,GOLD,1
1896,Athletics,long jump men,Men,USA,United States of America,SILVER,1
1896,Athletics,marathon men,Men,GRE,Greece,GOLD,1
1896,Athletics,marathon men,Men,GRE,Greece,SILVER,1
1896,Athletics,marathon men,Men,HUN,Hungary,BRONZE,1
1896,Athletics,pole vault men,Men,GRE,Greece,BRONZE,1
1896,Athletics,pole vault men,Men,USA,United States of America,GOLD,1
1896,Athletics,pole vault men,Men,USA,United States of America,SILVER,1
1896,Athletics,shot put men,Men,GRE,Greece,BRONZE,1
1896,Athletics,shot put men,Men,GRE,Greece,SILVER,1
1896,Athletics,shot put men,Men,USA,United States of America,GOLD,1
1896,Athletics,triple jump men,Men,FRA,France,SILVER,1
1896,Athletics,triple jump men,Men,GRE,Greece,BRONZE,1
1896,Athletics,triple jump men,Men,USA,United States of America,GOLD,1
1896,Cycling Road,individual road race men,Men,GBR,Great Britain,BRONZE,1
1896,Cycling Road,individual road race men,Men,GER,Germany,SILVER,1
1896,Cycling Road,individual road race men,Men,GRE,Greece,GOLD,1
1896,Cycling Track,100km men,Men,FRA,France,GOLD,1
1896,Cycling Track,100km men,Men,GRE,Greece,SILVER,1
1896,Cycling Track,10km men,Men,AUT,Austria,BRONZE,1
1896,Cycling Track,10km men,Men,FRA,France,GOLD,1
1896,Cycling Track,10km men,Men,FRA,France,SILVER,1
1896,Cycling Track,12-hour race men,Men,AUT,Austria,GOLD,1
1896,Cycling Track,12-hour race men,Men,GBR,Great Britain,SILVER,1
1896,Cycling Track,1km time trial men,Men,AUT,Austria,BRONZE,1
1896,Cycling Track,1km time trial men,Men,FRA,France,GOLD,1
1896,Cycling Track,1km time trial men,Men,GRE,Greece,SILVER,1
1896,Cycling Track,Sprint individual men,Men,FRA,France,BRONZE,1
1896,Cycling Track,Sprint individual men,Men,FRA,France,GOLD,1
1896,Cycling Track,Sprint individual men,Men,GRE,Greece,SILVER,1
1896,Fencing,foil individual men,Men,FRA,France,GOLD,1
1896,Fencing,foil individual men,Men,FRA,France,SILVER,1
1896,Fencing,foil individual men,Men,GRE,Greece,BRONZE,1
1896,Fencing,foil masters men,Men,FRA,France,SILVER,1
1896,Fencing,foil masters men,Men,GRE,Greece,GOLD,1
1896,Fencing,sabre individual men,Men,DEN,Denmark,BRONZE,1
1896,Fencing,sabre individual men,Men,GRE,Greece,GOLD,1
1896,Fencing,sabre individual men,Men,GRE,Greece,SILVER,1
1896,Gymnastics Artistic,horizontal bar men,Men,GER,Germany,GOLD,1
1896,Gymnastics Artistic,horizontal bar men,Men,GER,Germany,SILVER,1
1896,Gymnastics Artistic,parallel bars men,Men,GER,Germany,GOLD,1
1896,Gymnastics Artistic,parallel bars men,Men,SUI,Switzerland,SILVER,1
1896,Gymnastics Artistic,pommel horse men,Men,GER,Germany,SILVER,1
1896,Gymnastics Artistic,pommel horse men,Men,SUI,Switzerland,GOLD,1
1896,Gymnastics Artistic,rings men,Men,GER,Germany,SILVER,1
1896,Gymnastics Artistic,rings men,Men,GRE,Greece,BRONZE,1
1896,Gymnastics Artistic,rings men,Men,GRE,Greece,GOLD,1
1896,Gymnastics Artistic,rope climbing men,Men,GER,Germany,BRONZE,1
1896,Gymnastics Artistic,rope climbing men,Men,GRE,Greece,GOLD,1
1896,Gymnastics Artistic,rope climbing men,Men,GRE,Greece,SILVER,1
1896,Gymnastics Artistic,team horizontal bar men,Men,GER,Germany,GOLD,1
1896,Gymnastics Artistic,team parallel bars men,Men,GER,Germany,GOLD,1
1896,Gymnastics Artistic,team parallel bars men,Men,GRE,Greece,BRONZE,1
1896,Gymnastics Artistic,team parallel bars men,Men,GRE,Greece,SILVER,1
1896,Gymnastics Artistic,vault men,Men,GER,Germany,BRONZE,1
1896,Gymnastics Artistic,vault men,Men,GER,Germany,GOLD,1
1896,Gymnastics Artistic,vault men,Men,SUI,Switzerland,SILVER,1
1896,Shooting,25m army pistol men,Men,GRE,Greece,BRONZE,1
1896,Shooting,25m army pistol men,Men,USA,United States of America,GOLD,1
1896,Shooting,25m army pistol men,Men,USA,United States of America,SILVER,1
1896,Shooting,25m rapid fire pistol 60 shots men,Men,DEN,Denmark,BRONZE,1
1896,Shooting,25m rapid fire pistol 60 shots men,Men,GRE,Greece,GOLD,1
1896,Shooting,25m rapid fire pistol 60 shots men,Men,GRE,Greece,SILVER,1
1896,Shooting,50m pistol 60 shots men,Men,DEN,Denmark,SILVER,1
1896,Shooting,50m pistol 60 shots men,Men,GRE,Greece,BRONZE,1
1896,Shooting,50m pistol 60 shots men,Men,USA,United States of America,GOLD,1
1896,Shooting,army rifle 200m men,Men,GRE,Greece,BRONZE,1
1896,Shooting,army rifle 200m men,Men,GRE,Greece,GOLD,1
1896,Shooting,army rifle 200m men,Men,GRE,Greece,SILVER,1
1896,Shooting,army rifle 300m men,Men,DEN,Denmark,BRONZE,1
1896,Shooting,army rifle 300m men,Men,GRE,Greece,GOLD,1
1896,Shooting,army rifle 300m men,Men,GRE,Greece,SILVER,1
1896,Swimming,100m freestyle for sailors men,Men,GRE,Greece,BRONZE,1
1896,Swimming,100m freestyle for sailors men,Men,GRE,Greece,GOLD,1
1896,Swimming,100m freestyle for sailors men,Men,GRE,Greece,SILVER,1
1896,Swimming,100m freestyle men,Men,AUT,Austria,SILVER,1
1896,Swimming,100m freestyle men,Men,HUN,Hungary,GOLD,1
1896,Swimming,1200m freestyle men,Men,GRE,Greece,SILVER,1
1896,Swimming,1200m freestyle men,Men,HUN,Hungary,GOLD,1
1896,Swimming,400m freestyle men,Men,AUT,Austria,GOLD,1
1896,Swimming,400m freestyle men,Men,GRE,Greece,BRONZE,1
1896,Swimming,400m freestyle men,Men,GRE,Greece,SILVER,1
1896,Tennis,Singles men,Men,GBR,Great Britain,GOLD,1
1896,Tennis,Singles men,Men,GRE,Greece,BRONZE,1
1896,Tennis,Singles men,Men,GRE,Greece,SILVER,1
1896,Tennis,Singles men,Men,HUN,Hungary,BRONZE,1
1896,Tennis,doubles men,Men,GRE,Greece,SILVER,1
1896,Tennis,doubles men,Men,MIX,MIX,BRONZE,1
1896,Tennis,doubles men,Men,MIX,MIX,GOLD,1
1896,Weightlifting,heavyweight - one hand lift men,Men,DEN,Denmark,SILVER,1
1896,Weightlifting,heavyweight - one hand lift men,Men,GBR,Great Britain,GOLD,1
1896,Weightlifting,heavyweight - one hand lift men,Men,GRE,Greece,BRONZE,1
1896,Weightlifting,heavyweight - two hand lift men,Men,DEN,Denmark,GOLD,1
1896,Weightlifting,heavyweight - two hand lift men,Men,GBR,Great Britain,SILVER,1
1896,Weightlifting,heavyweight - two hand lift men,Men,GRE,Greece,BRONZE,1
1896,Wrestling,"Unlimited Class, Greco-Roman Men",Men,GER,Germany,GOLD,1
1896,Wrestling,"Unlimited Class, Greco-Roman Men",Men,GRE,Greece,BRONZE,1
1896,Wrestling,"Unlimited Class, Greco-Roman Men",Men,GRE,Greece,SILVER,1
1900,Archery,Championnat Du Monde Men,Men,BEL,Belgium,SILVER,1
1900,Archery,Championnat Du Monde Men,Men,FRA,France,GOLD,1
1900,Archery,au chapelet 33m men,Men,BEL,Belgium,GOLD,1
1900,Archery,au chapelet 33m men,Men,FRA,France,BRONZE,1
1900,Archery,au chapelet 33m men,Men,FRA,France,SILVER,1
1900,Archery,au chapelet 50m men,Men,FRA,France,BRONZE,1
1900,Archery,au chapelet 50m men,Men,FRA,France,GOLD,1
1900,Archery,au chapelet 50m men,Men,FRA,France,SILVER,1
1900,Archery,au cordon dor 33m men,Men,BEL,Belgium,GOLD,1
1900,Archery,au cordon dor 33m men,Men,FRA,France,BRONZE,1
1900,Archery,au cordon dor 33m men,Men,FRA,France,SILVER,1
1900,Archery,au cordon dor 50m men,Men,BEL,Belgium,SILVER,1
1900,Archery,au cordon dor 50m men,Men,FRA,France,BRONZE,1
1900,Archery,au cordon dor 50m men,Men,FRA,France,GOLD,1
1900,Archery,sur la perche à la herse men,Men,BEL,Belgium,GOLD,1
1900,Archery,sur la perche à la herse men,Men,BEL,Belgium,SILVER,1
1900,Archery,sur la perche à la herse men,Men,FRA,France,SILVER,1
1900,Archery,sur la perche à la pyramide men,Men,BEL,Belgium,BRONZE,1
1900,Archery,sur la perche à la pyramide men,Men,FRA,France,GOLD,1
1900,Archery,sur la perche à la pyramide men,Men,FRA,France,SILVER,1
1900,Athletics,100m men,Men,AUS,Australia,BRONZE,1
1900,Athletics,100m men,Men,USA,United States of America,GOLD,1
1900,Athletics,100m men,Men,USA,United States of America,SILVER,1
1900,Athletics,110m hurdles men,Men,USA,United States of America,BRONZE,1
1900,Athletics,110m hurdles men,Men,USA,United States of America,GOLD,1
1900,Athletics,110m hurdles men,Men,USA,United States of America,SILVER,1
1900,Athletics,1500m men,Men,FRA,France,SILVER,1
1900,Athletics,1500m men,Men,GBR,Great Britain,GOLD,1
1900,Athletics,1500m men,Men,USA,United States of America,BRONZE,1
1900,Athletics,200m hurdles men,Men,IND,India,SILVER,1
1900,Athletics,200m hurdles men,Men,USA,United States of America,BRONZE,1
1900,Athletics,200m hurdles men,Men,USA,United States of America,GOLD,1
1900,Athletics,200m men,Men,AUS,Australia,BRONZE,1
1900,Athletics,200m men,Men,IND,India,SILVER,1
1900,Athletics,200m men,Men,USA,United States of America,GOLD,1
1900,Athletics,3000m steeplechase men,Men,CAN,Canada,GOLD,1
1900,Athletics,3000m steeplechase men,Men,FRA,France,BRONZE,1
1900,Athletics,3000m steeplechase men,Men,GBR,Great Britain,SILVER,1
1900,Athletics,4000m steeplechase men,Men,GBR,Great Britain,BRONZE,1
1900,Athletics,4000m steeplechase men,Men,GBR,Great Britain,GOLD,1
1900,Athletics,4000m steeplechase men,Men,GBR,Great Britain,SILVER,1
1900,Athletics,400m hurdles men,Men,CAN,Canada,BRONZE,1
1900,Athletics,400m hurdles men,Men,FRA,France,SILVER,1
1900,Athletics,400m hurdles men,Men,USA,United States of America,GOLD,1
1900,Athletics,400m men,Men,DEN,Denmark,BRONZE,1
1900,Athletics,400m men,Men,USA,United States of America,GOLD,1
1900,Athletics,400m men,Men,USA,United States of America,SILVER,1
1900,Athletics,5000m team men,Men,FRA,France,SILVER,1
1900,Athletics,5000m team men,Men,MIX,MIX,GOLD,1
1900,Athletics,60m men,Men,AUS,Australia,BRONZE,1
1900,Athletics,60m men,Men,USA,United States of America,GOLD,1
1900,Athletics,60m men,Men,USA,United States of America,SILVER,1
1900,Athletics,800m men,Men,GBR,Great Britain,GOLD,1
1900,Athletics,800m men,Men,USA,United States of America,BRONZE,1
1900,Athletics,800m men,Men,USA,United States of America,SILVER,1
1900,Athletics,discus throw men,Men,BOH,Bohemia,SILVER,1
1900,Athletics,discus throw men,Men,HUN,Hungary,GOLD,1
1900,Athletics,discus throw men,Men,USA,United States of America,BRONZE,1
1900,Athletics,hammer throw men,Men,USA,United States of America,BRONZE,1
1900,Athletics,hammer throw men,Men,USA,United States of America,GOLD,1
1900,Athletics,hammer throw men,Men,USA,United States of America,SILVER,1
1900,Athletics,high jump men,Men,GBR,Great Britain,SILVER,1
1900,Athletics,high jump men,Men,HUN,Hungary,BRONZE,1
1900,Athletics,high jump men,Men,USA,United States of America,GOLD,1
1900,Athletics,high jump standing men,Men,USA,United States of America,BRONZE,1
1900,Athletics,high jump standing men,Men,USA,United States of America,GOLD,1
1900,Athletics,high jump standing men,Men,USA,United States of America,SILVER,1
1900,Athletics,long jump men,Men,GBR,Great Britain,BRONZE,1
1900,Athletics,long jump men,Men,USA,United States of America,GOLD,1
1900,Athletics,long jump men,Men,USA,United States of America,SILVER,1
1900,Athletics,long jump standing men,Men,FRA,France,BRONZE,1
1900,Athletics,long jump standing men,Men,USA,United States of America,GOLD,1
1900,Athletics,long jump standing men,Men,USA,United States of America,SILVER,1
1900,Athletics,marathon men,Men,FRA,France,SILVER,1
1900,Athletics,marathon men,Men,LUX,Luxembourg,GOLD,1
1900,Athletics,marathon men,Men,SWE,Sweden,BRONZE,1
1900,Athletics,pole vault men,Men,NOR,Norway,BRONZE,1
1900,Athletics,pole vault men,Men,USA,United States of America,GOLD,1
1900,Athletics,pole vault men,Men,USA,United States of America,SILVER,1
1900,Athletics,shot put men,Men,USA,United States of America,BRONZE,1
1900,Athletics,shot put men,Men,USA,United States of America,GOLD,1
1900,Athletics,shot put men,Men,USA,United States of America,SILVER,1
1900,Athletics,triple jump men,Men,USA,United States of America,BRONZE,1
1900,Athletics,triple jump men,Men,USA,United States of America,GOLD,1
1900,Athletics,triple jump men,Men,USA,United States of America,SILVER,1
1900,Athletics,triple jump standing men,Men,USA,United States of America,BRONZE,1
1900,Athletics,triple jump standing men,Men,USA,United States of America,GOLD,1
1900,Athletics,triple jump standing men,Men,USA,United States of America,SILVER,1
1900,Basque Pelota,cesta punta men,Men,ESP,Spain,GOLD,1
1900,Cricket,cricket men,Men,GBR,Great Britain,GOLD,1
1900,Cricket,cricket men,Men,MIX,MIX,SILVER,1
1900,Croquet,double men,Open,FRA,France,GOLD,1
1900,Croquet,individual 1 ball men,Open,FRA,France,BRONZE,1
1900,Croquet,individual 1 ball men,Open,FRA,France,GOLD,1
1900,Croquet,individual 1 ball men,Open,FRA,France,SILVER,1
1900,Croquet,individual 2 balls men,Open,FRA,France,BRONZE,1
1900,Croquet,individual 2 balls men,Open,FRA,France,GOLD,1
1900,Croquet,individual 2 balls men,Open,FRA,France,SILVER,1
1900,Cycling Track,25 kilometres men,Men,FRA,France,BRONZE,1
1900,Cycling Track,25 kilometres men,Men,FRA,France,GOLD,1
1900,Cycling Track,25 kilometres men,Men,GBR,Great Britain,SILVER,1
1900,Cycling Track,Course De Primes Men,Men,FRA,France,BRONZE,1
1900,Cycling Track,Course De Primes Men,Men,GER,Germany,SILVER,1
1900,Cycling Track,Course De Primes Men,Men,ITA,Italy,GOLD,1
1900,Cycling Track,Sprint individual men,Men,FRA,France,GOLD,1
1900,Cycling Track,Sprint individual men,Men,FRA,France,SILVER,1
1900,Cycling Track,Sprint individual men,Men,USA,United States of America,BRONZE,1
1900,Equestrian Jumping,high jump mixed,Open,BEL,Belgium,BRONZE,1
1900,Equestrian Jumping,high jump mixed,Open,FRA,France,GOLD,1
1900,Equestrian Jumping,high jump mixed,Open,ITA,Italy,GOLD,1
1900,Equestrian Jumping,individual mixed,Open,BEL,Belgium,GOLD,1
1900,Equestrian Jumping,individual mixed,Open,FRA,France,BRONZE,1
1900,Equestrian Jumping,individual mixed,Open,ITA,Italy,SILVER,1
1900,Equestrian Jumping,long jump individual mixed,Open,BEL,Belgium,GOLD,1
1900,Equestrian Jumping,long jump individual mixed,Open,BEL,Belgium,SILVER,1
1900,Equestrian Jumping,long jump individual mixed,Open,FRA,France,BRONZE,1
1900,Fencing,foil individual men,Men,FRA,France,BRONZE,1
1900,Fencing,foil individual men,Men,FRA,France,GOLD,1
1900,Fencing,foil individual men,Men,FRA,France,SILVER,1
1900,Fencing,foil masters men,Men,FRA,France,BRONZE,1
1900,Fencing,foil masters men,Men,FRA,France,GOLD,1
1900,Fencing,foil masters men,Men,FRA,France,SILVER,1
1900,Fencing,pe amateurs and masters men,Men,CUB,Cuba,SILVER,1
1900,Fencing,pe amateurs and masters men,Men,FRA,France,BRONZE,1
1900,Fencing,pe amateurs and masters men,Men,FRA,France,GOLD,1
1900,Fencing,pe masters men,Men,FRA,France,BRONZE,1
1900,Fencing,pe masters men,Men,FRA,France,GOLD,1
1900,Fencing,pe masters men,Men,FRA,France,SILVER,1
1900,Fencing,sabre individual men,Men,AUT,Austria,BRONZE,1
1900,Fencing,sabre individual men,Men,FRA,France,GOLD,1
1900,Fencing,sabre individual men,Men,FRA,France,SILVER,1
1900,Fencing,sabre masters men,Men,AUT,Austria,BRONZE,1
1900,Fencing,sabre masters men,Men,ITA,Italy,GOLD,1
1900,Fencing,sabre masters men,Men,ITA,Italy,SILVER,1
1900,Fencing,épée individual men,Men,CUB,Cuba,GOLD,1
1900,Fencing,épée individual men,Men,FRA,France,BRONZE,1
1900,Fencing,épée individual men,Men,FRA,France,SILVER,1
1900,Football,football men,Men,FRA,France,SILVER,1
1900,Football,football men,Men,GBR,Great Britain,GOLD,1
1900,Football,football men,Men,MIX,MIX,BRONZE,1
1900,Golf,Individual men,Men,GBR,Great Britain,BRONZE,1
1900,Golf,Individual men,Men,GBR,Great Britain,SILVER,1
1900,Golf,Individual men,Men,USA,United States of America,GOLD,1
1900,Golf,Individual women,Women,USA,United States of America,BRONZE,1
1900,Golf,Individual women,Women,USA,United States of America,GOLD,1
1900,Golf,Individual women,Women,USA,United States of America,SILVER,1
1900,Gymnastics Artistic,individual all-round men,Men,FRA,France,BRONZE,1
1900,Gymnastics Artistic,individual all-round men,Men,FRA,France,GOLD,1
1900,Gymnastics Artistic,individual all-round men,Men,FRA,France,SILVER,1
1900,Polo,polo men,Men,MIX,MIX,BRONZE,1
1900,Polo,polo men,Men,MIX,MIX,GOLD,1
1900,Polo,polo men,Men,MIX,MIX,SILVER,1
1900,Rowing,eight with coxswain 8 men,Men,BEL,Belgium,SILVER,1
1900,Rowing,eight with coxswain 8 men,Men,NED,Netherlands,BRONZE,1
1900,Rowing,eight with coxswain 8 men,Men,USA,United States of America,GOLD,1
1900,Rowing,four-oared shell with coxswain men - Final 1,Men,FRA,France,GOLD,1
1900,Rowing,four-oared shell with coxswain men - Final 1,Men,FRA,France,SILVER,1
1900,Rowing,four-oared shell with coxswain men - Final 1,Men,GER,Germany,BRONZE,1
1900,Rowing,four-oared shell with coxswain men - Final 2,Men,GER,Germany,BRONZE,1
1900,Rowing,four-oared shell with coxswain men - Final 2,Men,GER,Germany,GOLD,1
1900,Rowing,four-oared shell with coxswain men - Final 2,Men,NED,Netherlands,SILVER,1
1900,Rowing,pair-oared shell with coxswain men,Men,FRA,France,BRONZE,1
1900,Rowing,pair-oared shell with coxswain men,Men,FRA,France,SILVER,1
1900,Rowing,pair-oared shell with coxswain men,Men,MIX,MIX,GOLD,1
1900,Rowing,single sculls 1x men,Men,FRA,France,GOLD,1
1900,Rowing,single sculls 1x men,Men,FRA,France,SILVER,1
1900,Rowing,single sculls 1x men,Men,GBR,Great Britain,BRONZE,1
1900,Rugby,rugby men,Men,GBR,Great Britain,SILVER,1
1900,Rugby,rugby men,Men,GER,Germany,SILVER,1
1900,Rugby,rugby men,Men,MIX,MIX,GOLD,1
1900,Sailing,0.5-1t mixed,Open,FRA,France,BRONZE,1
1900,Sailing,0.5-1t mixed,Open,FRA,France,SILVER,1
1900,Sailing,0.5-1t mixed,Open,GBR,Great Britain,GOLD,1
1900,Sailing,"0.5t mixed, race one",Open,FRA,France,BRONZE,1
1900,Sailing,"0.5t mixed, race one",Open,FRA,France,GOLD,1
1900,Sailing,"0.5t mixed, race one",Open,FRA,France,SILVER,1
1900,Sailing,"0.5t mixed, race two",Open,FRA,France,BRONZE,1
1900,Sailing,"0.5t mixed, race two",Open,FRA,France,GOLD,1
1900,Sailing,"0.5t mixed, race two",Open,FRA,France,SILVER,1
1900,Sailing,1-2 Ton Race One Open,Open,FRA,France,BRONZE,1
1900,Sailing,1-2 Ton Race One Open,Open,FRA,France,SILVER,1
1900,Sailing,1-2 Ton Race One Open,Open,SUI,Switzerland,GOLD,1
1900,Sailing,1-2t mixed,Open,FRA,France,BRONZE,1
1900,Sailing,1-2t mixed,Open,GER,Germany,GOLD,1
1900,Sailing,1-2t mixed,Open,SUI,Switzerland,SILVER,1
1900,Sailing,10-20t mixed,Open,FRA,France,GOLD,1
1900,Sailing,10-20t mixed,Open,FRA,France,SILVER,1
1900,Sailing,10-20t mixed,Open,GBR,Great Britain,BRONZE,1
1900,Sailing,2-3 Ton Race Two Open,Open,FRA,France,BRONZE,1
1900,Sailing,2-3 Ton Race Two Open,Open,FRA,France,SILVER,1
1900,Sailing,2-3 Ton Race Two Open,Open,MIX,MIX,GOLD,1
1900,Sailing,2-3t mixed,Open,FRA,France,BRONZE,1
1900,Sailing,2-3t mixed,Open,FRA,France,SILVER,1
1900,Sailing,2-3t mixed,Open,MIX,MIX,GOLD,1
1900,Sailing,20t + mixed,Open,GBR,Great Britain,GOLD,1
1900,Sailing,20t + mixed,Open,GBR,Great Britain,SILVER,1
1900,Sailing,20t + mixed,Open,USA,United States of America,BRONZE,1
1900,Sailing,3-10 Ton Race One Open,Open,FRA,France,BRONZE,1
1900,Sailing,3-10 Ton Race One Open,Open,FRA,France,GOLD,1
1900,Sailing,3-10 Ton Race One Open,Open,NED,Netherlands,SILVER,1
1900,Sailing,3-10t mixed,Open,FRA,France,SILVER,1
1900,Sailing,3-10t mixed,Open,GBR,Great Britain,GOLD,1
1900,Sailing,3-10t mixed,Open,USA,United States of America,BRONZE,1
1900,Sailing,open class mixed,Open,FRA,France,BRONZE,1
1900,Sailing,open class mixed,Open,GBR,Great Britain,GOLD,1
1900,Sailing,open class mixed,Open,GER,Germany,SILVER,1
1900,Sailing,½-1 Ton Race Two Open,Open,FRA,France,BRONZE,1
1900,Sailing,½-1 Ton Race Two Open,Open,FRA,France,GOLD,1
1900,Sailing,½-1 Ton Race Two Open,Open,FRA,France,SILVER,1
1900,Shooting,50m army pistol team men,Men,FRA,France,SILVER,1
1900,Shooting,50m army pistol team men,Men,NED,Netherlands,BRONZE,1
1900,Shooting,50m army pistol team men,Men,SUI,Switzerland,GOLD,1
1900,Shooting,50m pistol 60 shots men,Men,FRA,France,SILVER,1
1900,Shooting,50m pistol 60 shots men,Men,SUI,Switzerland,BRONZE,1
1900,Shooting,50m pistol 60 shots men,Men,SUI,Switzerland,GOLD,1
1900,Shooting,army rifle 300m 3 positions men,Men,BEL,Belgium,BRONZE,1
1900,Shooting,army rifle 300m 3 positions men,Men,DEN,Denmark,SILVER,1
1900,Shooting,army rifle 300m 3 positions men,Men,NOR,Norway,BRONZE,1
1900,Shooting,army rifle 300m 3 positions men,Men,SUI,Switzerland,GOLD,1
1900,Shooting,army rifle 300m kneeling men,Men,DEN,Denmark,SILVER,1
1900,Shooting,army rifle 300m kneeling men,Men,SUI,Switzerland,GOLD,1
1900,Shooting,army rifle 300m kneeling men,Men,SUI,Switzerland,SILVER,1
1900,Shooting,army rifle 300m prone men,Men,DEN,Denmark,SILVER,1
1900,Shooting,army rifle 300m prone men,Men,FRA,France,GOLD,1
1900,Shooting,army rifle 300m prone men,Men,NOR,Norway,BRONZE,1
1900,Shooting,army rifle 300m standing men,Men,BEL,Belgium,BRONZE,1
1900,Shooting,army rifle 300m standing men,Men,DEN,Denmark,GOLD,1
1900,Shooting,army rifle 300m standing men,Men,NOR,Norway,SILVER,1
1900,Shooting,free rifle team men,Men,FRA,France,BRONZE,1
1900,Shooting,free rifle team men,Men,NOR,Norway,SILVER,1
1900,Shooting,free rifle team men,Men,SUI,Switzerland,GOLD,1
1900,Shooting,trap 125 targets men,Men,BEL,Belgium,SILVER,1
1900,Shooting,trap 125 targets men,Men,FRA,France,BRONZE,1
1900,Shooting,trap 125 targets men,Men,FRA,France,GOLD,1
1900,Swimming,1000m freestyle men,Men,AUT,Austria,SILVER,1
1900,Swimming,1000m freestyle men,Men,GBR,Great Britain,GOLD,1
1900,Swimming,1000m freestyle men,Men,HUN,Hungary,BRONZE,1
1900,Swimming,200m backstroke men,Men,AUT,Austria,SILVER,1
1900,Swimming,200m backstroke men,Men,GER,Germany,GOLD,1
1900,Swimming,200m backstroke men,Men,NED,Netherlands,BRONZE,1
1900,Swimming,200m freestyle men,Men,AUS,Australia,GOLD,1
1900,Swimming,200m freestyle men,Men,AUT,Austria,BRONZE,1
1900,Swimming,200m freestyle men,Men,HUN,Hungary,SILVER,1
1900,Swimming,200m obstacle event men,Men,AUS,Australia,GOLD,1
1900,Swimming,200m obstacle event men,Men,AUT,Austria,SILVER,1
1900,Swimming,200m obstacle event men,Men,GBR,Great Britain,BRONZE,1
1900,Swimming,200m team swimming men,Men,FRA,France,BRONZE,1
1900,Swimming,200m team swimming men,Men,FRA,France,SILVER,1
1900,Swimming,200m team swimming men,Men,GER,Germany,GOLD,1
1900,Swimming,4000m freestyle men,Men,FRA,France,BRONZE,1
1900,Swimming,4000m freestyle men,Men,GBR,Great Britain,GOLD,1
1900,Swimming,4000m freestyle men,Men,HUN,Hungary,SILVER,1
1900,Swimming,underwater swimming men,Men,DEN,Denmark,BRONZE,1
1900,Swimming,underwater swimming men,Men,FRA,France,GOLD,1
1900,Swimming,underwater swimming men,Men,FRA,France,SILVER,1
1900,Tennis,Singles men,Men,GBR,Great Britain,BRONZE,1
1900,Tennis,Singles men,Men,GBR,Great Britain,GOLD,1
1900,Tennis,Singles men,Men,GBR,Great Britain,SILVER,1
1900,Tennis,Singles women,Women,BOH,Bohemia,BRONZE,1
1900,Tennis,Singles women,Women,FRA,France,SILVER,1
1900,Tennis,Singles women,Women,GBR,Great Britain,GOLD,1
1900,Tennis,Singles women,Women,USA,United States of America,BRONZE,1
1900,Tennis,doubles men,Men,FRA,France,BRONZE,1
1900,Tennis,doubles men,Men,GBR,Great Britain,BRONZE,1
1900,Tennis,doubles men,Men,GBR,Great Britain,GOLD,1
1900,Tennis,doubles men,Men,MIX,MIX,SILVER,1
1900,Tennis,mixed doubles mixed,Mixed,GBR,Great Britain,GOLD,1
1900,Tennis,mixed doubles mixed,Mixed,MIX,MIX,BRONZE,1
1900,Tennis,mixed doubles mixed,Mixed,MIX,MIX,SILVER,1
1900,Tug of War,tug of war men,Men,MIX,MIX,GOLD,1
1900,Tug of War,tug of war men,Men,MIX,MIX,SILVER,1
1900,Water Polo,water polo men,Men,BEL,Belgium,SILVER,1
1900,Water Polo,water polo men,Men,FRA,France,BRONZE,1
1900,Water Polo,water polo men,Men,MIX,MIX,BRONZE,1
1900,Water Polo,water polo men,Men,MIX,MIX,GOLD,1
1904,Archery,Team Round Men,Men,USA,United States of America,BRONZE,1
1904,Archery,Team Round Men,Men,USA,United States of America,GOLD,1
1904,Archery,Team Round Men,Men,USA,United States of America,SILVER,1
1904,Archery,double american round (60y - 50y - 40y) men,Men,USA,United States of America,BRONZE,1
1904,Archery,double american round (60y - 50y - 40y) men,Men,USA,United States of America,GOLD,1
1904,Archery,double american round (60y - 50y - 40y) men,Men,USA,United States of America,SILVER,1
1904,Archery,double columbia round 50y  40y  30y women,Women,USA,United States of America,BRONZE,1
1904,Archery,double columbia round 50y  40y  30y women,Women,USA,United States of America,GOLD,1
